,x,ukf_x,y,ukf_y,rmse,ukf_rmse,past_temporal_horizon,future_temporal_horizon
19,0.039935205,0.04051050314621994,0.06427807,0.06641913320469915,0.05210664,0.05346481817545955,4.0,0.5
23,0.039765436,0.04051050314621994,0.06471373,0.06641913320469915,0.052239582,0.05346481817545955,5.0,0.5
14,0.040332556,0.04051050314621994,0.06824651,0.06641913320469915,0.054289535,0.05346481817545955,3.0,0.4
18,0.04229965,0.04051050314621994,0.06877913,0.06641913320469915,0.055539392,0.05346481817545955,4.0,0.4
22,0.042690735,0.04051050314621994,0.07177542,0.06641913320469915,0.05723308,0.05346481817545955,5.0,0.4
15,0.047946855,0.04051050314621994,0.0700822,0.06641913320469915,0.05901453,0.05346481817545955,3.0,0.5
21,0.04135404,0.04051050314621994,0.080500394,0.06641913320469915,0.06092722,0.05346481817545955,5.0,0.3
10,0.050649386,0.04051050314621994,0.07361494,0.06641913320469915,0.062132165,0.05346481817545955,2.0,0.4
13,0.044734526,0.04051050314621994,0.080064766,0.06641913320469915,0.062399648,0.05346481817545955,3.0,0.3
11,0.050420165,0.04051050314621994,0.07478842,0.06641913320469915,0.06260429,0.05346481817545955,2.0,0.5
17,0.043362588,0.04051050314621994,0.08222188,0.06641913320469915,0.062792234,0.05346481817545955,4.0,0.3
20,0.03730751,0.04051050314621994,0.0955599,0.06641913320469915,0.066433705,0.05346481817545955,5.0,0.2
16,0.042399105,0.04051050314621994,0.09431194,0.06641913320469915,0.06835552,0.05346481817545955,4.0,0.2
12,0.041033447,0.04051050314621994,0.09827644,0.06641913320469915,0.06965494,0.05346481817545955,3.0,0.2
9,0.04857433,0.04051050314621994,0.1025668,0.06641913320469915,0.07557057,0.05346481817545955,2.0,0.3
8,0.049813192,0.04051050314621994,0.10284868,0.06641913320469915,0.07633094,0.05346481817545955,2.0,0.2
6,0.077339485,0.04051050314621994,0.13133909,0.06641913320469915,0.10433929,0.05346481817545955,1.0,0.4
7,0.07830025,0.04051050314621994,0.13304049,0.06641913320469915,0.10567037,0.05346481817545955,1.0,0.5
5,0.083432615,0.04051050314621994,0.14005513,0.06641913320469915,0.111743875,0.05346481817545955,1.0,0.3
4,0.07741195,0.04051050314621994,0.15122266,0.06641913320469915,0.114317305,0.05346481817545955,1.0,0.2
3,0.10184314,0.04051050314621994,0.29731202,0.06641913320469915,0.19957758,0.05346481817545955,0.5,0.5
2,0.10443674,0.04051050314621994,0.31155428,0.06641913320469915,0.2079955,0.05346481817545955,0.5,0.4
1,0.10069593,0.04051050314621994,0.32203466,0.06641913320469915,0.2113653,0.05346481817545955,0.5,0.3
0,0.10197409,0.04051050314621994,0.35713592,0.06641913320469915,0.22955501,0.05346481817545955,0.5,0.2
