,x,ukf_['x'],y,ukf_['y'],rmse,ukf_rmse,past_temporal_horizon,future_temporal_horizon
22,0.11596599,0.1890698121149818,0.079599164,0.12967761336061787,0.09778258,0.15937371273779982,5.0,0.4
23,0.119930156,0.1890698121149818,0.09273106,0.12967761336061787,0.1063306,0.15937371273779982,5.0,0.5
21,0.119599044,0.1890698121149818,0.10851169,0.12967761336061787,0.114055365,0.15937371273779982,5.0,0.3
19,0.14193629,0.1890698121149818,0.08997398,0.12967761336061787,0.11595513,0.15937371273779982,4.0,0.5
17,0.14362895,0.1890698121149818,0.0974488,0.12967761336061787,0.120538875,0.15937371273779982,4.0,0.3
20,0.11865848,0.1890698121149818,0.12573089,0.12967761336061787,0.122194685,0.15937371273779982,5.0,0.2
18,0.14465901,0.1890698121149818,0.10022582,0.12967761336061787,0.12244242,0.15937371273779982,4.0,0.4
16,0.15077734,0.1890698121149818,0.12682384,0.12967761336061787,0.13880059,0.15937371273779982,4.0,0.2
14,0.18553329,0.1890698121149818,0.10417006,0.12967761336061787,0.14485167,0.15937371273779982,3.0,0.4
15,0.18980412,0.1890698121149818,0.10176527,0.12967761336061787,0.14578469,0.15937371273779982,3.0,0.5
13,0.19381773,0.1890698121149818,0.10475181,0.12967761336061787,0.14928478,0.15937371273779982,3.0,0.3
12,0.20982374,0.1890698121149818,0.13995287,0.12967761336061787,0.17488831,0.15937371273779982,3.0,0.2
10,0.21335223,0.1890698121149818,0.15791798,0.12967761336061787,0.1856351,0.15937371273779982,2.0,0.4
11,0.22411676,0.1890698121149818,0.16400242,0.12967761336061787,0.19405958,0.15937371273779982,2.0,0.5
8,0.2194751,0.1890698121149818,0.17191546,0.12967761336061787,0.19569528,0.15937371273779982,2.0,0.2
9,0.22685573,0.1890698121149818,0.17412846,0.12967761336061787,0.20049208,0.15937371273779982,2.0,0.3
5,0.28988272,0.1890698121149818,0.33571497,0.12967761336061787,0.31279886,0.15937371273779982,1.0,0.3
4,0.28994536,0.1890698121149818,0.33776388,0.12967761336061787,0.31385463,0.15937371273779982,1.0,0.2
7,0.28820544,0.1890698121149818,0.34589243,0.12967761336061787,0.31704894,0.15937371273779982,1.0,0.5
6,0.29900762,0.1890698121149818,0.33962426,0.12967761336061787,0.31931594,0.15937371273779982,1.0,0.4
0,0.38468975,0.1890698121149818,0.6476668,0.12967761336061787,0.51617825,0.15937371273779982,0.5,0.2
2,0.38940424,0.1890698121149818,0.6588256,0.12967761336061787,0.5241149,0.15937371273779982,0.5,0.4
3,0.39190814,0.1890698121149818,0.68002915,0.12967761336061787,0.53596866,0.15937371273779982,0.5,0.5
1,0.38788778,0.1890698121149818,0.684158,0.12967761336061787,0.5360229,0.15937371273779982,0.5,0.3
