,x,ukf_['x'],y,ukf_['y'],rmse,ukf_rmse,past_temporal_horizon,future_temporal_horizon
23,0.09365005,0.13564480172523177,0.06622551,0.10232278842818414,0.07993778,0.11898379507670795,5.0,0.5
19,0.0965593,0.13564480172523177,0.066070236,0.10232278842818414,0.08131477,0.11898379507670795,4.0,0.5
22,0.09595247,0.13564480172523177,0.06674134,0.10232278842818414,0.08134691,0.11898379507670795,5.0,0.4
20,0.08801061,0.13564480172523177,0.07552128,0.10232278842818414,0.08176595,0.11898379507670795,5.0,0.2
18,0.09526459,0.13564480172523177,0.06863888,0.10232278842818414,0.08195174,0.11898379507670795,4.0,0.4
21,0.096496366,0.13564480172523177,0.07818919,0.10232278842818414,0.08734278,0.11898379507670795,5.0,0.3
17,0.09603435,0.13564480172523177,0.0854788,0.10232278842818414,0.09075657,0.11898379507670795,4.0,0.3
16,0.09806631,0.13564480172523177,0.085691504,0.10232278842818414,0.091878906,0.11898379507670795,4.0,0.2
15,0.12694481,0.13564480172523177,0.073499665,0.10232278842818414,0.10022224,0.11898379507670795,3.0,0.5
14,0.14021952,0.13564480172523177,0.07179328,0.10232278842818414,0.1060064,0.11898379507670795,3.0,0.4
13,0.13557012,0.13564480172523177,0.0779477,0.10232278842818414,0.10675891,0.11898379507670795,3.0,0.3
12,0.14733282,0.13564480172523177,0.10493861,0.10232278842818414,0.1261357,0.11898379507670795,3.0,0.2
11,0.14187083,0.13564480172523177,0.115013056,0.10232278842818414,0.12844194,0.11898379507670795,2.0,0.5
9,0.15065436,0.13564480172523177,0.10947348,0.10232278842818414,0.13006392,0.11898379507670795,2.0,0.3
8,0.14711776,0.13564480172523177,0.11474369,0.10232278842818414,0.13093072,0.11898379507670795,2.0,0.2
10,0.16150695,0.13564480172523177,0.112971984,0.10232278842818414,0.13723947,0.11898379507670795,2.0,0.4
4,0.17884985,0.13564480172523177,0.22697504,0.10232278842818414,0.20291245,0.11898379507670795,1.0,0.2
5,0.1889393,0.13564480172523177,0.22436711,0.10232278842818414,0.20665321,0.11898379507670795,1.0,0.3
6,0.18904273,0.13564480172523177,0.22902189,0.10232278842818414,0.20903231,0.11898379507670795,1.0,0.4
7,0.19962533,0.13564480172523177,0.23482431,0.10232278842818414,0.21722482,0.11898379507670795,1.0,0.5
1,0.267828,0.13564480172523177,0.46990886,0.10232278842818414,0.3688684,0.11898379507670795,0.5,0.3
3,0.26379246,0.13564480172523177,0.48525435,0.10232278842818414,0.3745234,0.11898379507670795,0.5,0.5
0,0.26024264,0.13564480172523177,0.4929684,0.10232278842818414,0.3766055,0.11898379507670795,0.5,0.2
2,0.26224568,0.13564480172523177,0.49297473,0.10232278842818414,0.3776102,0.11898379507670795,0.5,0.4
