,x,ukf_['x'],y,ukf_['y'],rmse,ukf_rmse,past_temporal_horizon,future_temporal_horizon
23,0.11952652,0.18875103950618966,0.086205535,0.12931354507910892,0.102866024,0.15903229229264929,5.0,0.5
22,0.116497144,0.18875103950618966,0.09146127,0.12931354507910892,0.10397921,0.15903229229264929,5.0,0.4
21,0.11522144,0.18875103950618966,0.10423934,0.12931354507910892,0.10973039,0.15903229229264929,5.0,0.3
17,0.13753898,0.18875103950618966,0.091890074,0.12931354507910892,0.11471453,0.15903229229264929,4.0,0.3
20,0.11521439,0.18875103950618966,0.1159078,0.12931354507910892,0.1155611,0.15903229229264929,5.0,0.2
19,0.14664976,0.18875103950618966,0.092119925,0.12931354507910892,0.11938484,0.15903229229264929,4.0,0.5
18,0.14090364,0.18875103950618966,0.104799576,0.12931354507910892,0.12285161,0.15903229229264929,4.0,0.4
16,0.14293334,0.18875103950618966,0.12293635,0.12931354507910892,0.13293484,0.15903229229264929,4.0,0.2
12,0.1909498,0.18875103950618966,0.10007966,0.12931354507910892,0.14551473,0.15903229229264929,3.0,0.2
15,0.19595735,0.18875103950618966,0.096825734,0.12931354507910892,0.14639154,0.15903229229264929,3.0,0.5
13,0.19218305,0.18875103950618966,0.10512619,0.12931354507910892,0.14865461,0.15903229229264929,3.0,0.3
14,0.19445159,0.18875103950618966,0.10583457,0.12931354507910892,0.15014309,0.15903229229264929,3.0,0.4
11,0.2246022,0.18875103950618966,0.15770489,0.12931354507910892,0.19115354,0.15903229229264929,2.0,0.5
10,0.22892693,0.18875103950618966,0.1575216,0.12931354507910892,0.19322427,0.15903229229264929,2.0,0.4
8,0.22774726,0.18875103950618966,0.15991156,0.12931354507910892,0.19382942,0.15903229229264929,2.0,0.2
9,0.22057515,0.18875103950618966,0.17441948,0.12931354507910892,0.19749731,0.15903229229264929,2.0,0.3
5,0.28350043,0.18875103950618966,0.3340004,0.12931354507910892,0.30875042,0.15903229229264929,1.0,0.3
4,0.29249394,0.18875103950618966,0.33713263,0.12931354507910892,0.3148133,0.15903229229264929,1.0,0.2
7,0.28565803,0.18875103950618966,0.35389602,0.12931354507910892,0.319777,0.15903229229264929,1.0,0.5
6,0.29655,0.18875103950618966,0.35440066,0.12931354507910892,0.32547534,0.15903229229264929,1.0,0.4
2,0.38479036,0.18875103950618966,0.6579816,0.12931354507910892,0.52138597,0.15903229229264929,0.5,0.4
0,0.38314316,0.18875103950618966,0.66414326,0.12931354507910892,0.5236432,0.15903229229264929,0.5,0.2
1,0.38429332,0.18875103950618966,0.67277306,0.12931354507910892,0.5285332,0.15903229229264929,0.5,0.3
3,0.3936706,0.18875103950618966,0.66899586,0.12931354507910892,0.5313332,0.15903229229264929,0.5,0.5
