,x,ukf_['x'],y,ukf_['y'],rmse,ukf_rmse,past_temporal_horizon,future_temporal_horizon
19,0.026944097,0.03963150670687589,0.04573835,0.06796107174452357,0.036341224,0.05379628922569973,4.0,0.5
15,0.02951261,0.03963150670687589,0.044046015,0.06796107174452357,0.036779314,0.05379628922569973,3.0,0.5
23,0.028698064,0.03963150670687589,0.04654459,0.06796107174452357,0.037621327,0.05379628922569973,5.0,0.5
18,0.028725192,0.03963150670687589,0.05122593,0.06796107174452357,0.03997556,0.05379628922569973,4.0,0.4
14,0.033387534,0.03963150670687589,0.047649544,0.06796107174452357,0.040518537,0.05379628922569973,3.0,0.4
13,0.026111804,0.03963150670687589,0.05947956,0.06796107174452357,0.04279568,0.05379628922569973,3.0,0.3
22,0.03144775,0.03963150670687589,0.055884935,0.06796107174452357,0.04366634,0.05379628922569973,5.0,0.4
17,0.028399142,0.03963150670687589,0.062076885,0.06796107174452357,0.045238014,0.05379628922569973,4.0,0.3
11,0.033105332,0.03963150670687589,0.062174253,0.06796107174452357,0.047639795,0.05379628922569973,2.0,0.5
12,0.03087376,0.03963150670687589,0.06580579,0.06796107174452357,0.048339777,0.05379628922569973,3.0,0.2
10,0.03351723,0.03963150670687589,0.06355562,0.06796107174452357,0.048536427,0.05379628922569973,2.0,0.4
20,0.032146323,0.03963150670687589,0.06944612,0.06796107174452357,0.05079622,0.05379628922569973,5.0,0.2
9,0.02939804,0.03963150670687589,0.074299514,0.06796107174452357,0.051848777,0.05379628922569973,2.0,0.3
16,0.031814534,0.03963150670687589,0.081099406,0.06796107174452357,0.05645697,0.05379628922569973,4.0,0.2
21,0.036578286,0.03963150670687589,0.082822405,0.06796107174452357,0.059700347,0.05379628922569973,5.0,0.3
6,0.046678133,0.03963150670687589,0.08596519,0.06796107174452357,0.066321656,0.05379628922569973,1.0,0.4
8,0.035924427,0.03963150670687589,0.09744965,0.06796107174452357,0.06668704,0.05379628922569973,2.0,0.2
7,0.052013952,0.03963150670687589,0.093915954,0.06796107174452357,0.07296495,0.05379628922569973,1.0,0.5
5,0.049771048,0.03963150670687589,0.11051328,0.06796107174452357,0.08014216,0.05379628922569973,1.0,0.3
4,0.051370088,0.03963150670687589,0.18415813,0.06796107174452357,0.11776411,0.05379628922569973,1.0,0.2
2,0.0660411,0.03963150670687589,0.19402114,0.06796107174452357,0.13003111,0.05379628922569973,0.5,0.4
3,0.06848562,0.03963150670687589,0.1924793,0.06796107174452357,0.13048247,0.05379628922569973,0.5,0.5
1,0.06930443,0.03963150670687589,0.24283655,0.06796107174452357,0.15607049,0.05379628922569973,0.5,0.3
0,0.070025526,0.03963150670687589,0.274832,0.06796107174452357,0.17242877,0.05379628922569973,0.5,0.2
