,x,ukf_x,y,ukf_y,rmse,ukf_rmse,past_temporal_horizon,future_temporal_horizon
19,0.053775996,0.05721557457657495,0.08368967,0.08963477613059381,0.06873283,0.07342517535358438,4.0,0.5
23,0.053362098,0.05721557457657495,0.08639232,0.08963477613059381,0.06987721,0.07342517535358438,5.0,0.5
22,0.052977532,0.05721557457657495,0.099488325,0.08963477613059381,0.076232925,0.07342517535358438,5.0,0.4
18,0.05541429,0.05721557457657495,0.103720404,0.08963477613059381,0.07956734,0.07342517535358438,4.0,0.4
14,0.061672896,0.05721557457657495,0.09821321,0.08963477613059381,0.07994305,0.07342517535358438,3.0,0.4
21,0.055213083,0.05721557457657495,0.106553964,0.08963477613059381,0.080883525,0.07342517535358438,5.0,0.3
17,0.058834985,0.05721557457657495,0.11266841,0.08963477613059381,0.0857517,0.07342517535358438,4.0,0.3
10,0.06864469,0.05721557457657495,0.104543775,0.08963477613059381,0.08659423,0.07342517535358438,2.0,0.4
15,0.06278498,0.05721557457657495,0.11237045,0.08963477613059381,0.087577716,0.07342517535358438,3.0,0.5
11,0.07133541,0.05721557457657495,0.10849808,0.08963477613059381,0.08991675,0.07342517535358438,2.0,0.5
9,0.06864539,0.05721557457657495,0.117969625,0.08963477613059381,0.09330751,0.07342517535358438,2.0,0.3
13,0.06290712,0.05721557457657495,0.126011,0.08963477613059381,0.09445906,0.07342517535358438,3.0,0.3
16,0.0548775,0.05721557457657495,0.14063637,0.08963477613059381,0.09775694,0.07342517535358438,4.0,0.2
12,0.058956306,0.05721557457657495,0.14651553,0.08963477613059381,0.10273592,0.07342517535358438,3.0,0.2
20,0.05830984,0.05721557457657495,0.15033866,0.08963477613059381,0.10432425,0.07342517535358438,5.0,0.2
8,0.067364834,0.05721557457657495,0.14616887,0.08963477613059381,0.10676685,0.07342517535358438,2.0,0.2
7,0.105966546,0.05721557457657495,0.16746822,0.08963477613059381,0.13671738,0.07342517535358438,1.0,0.5
6,0.10527738,0.05721557457657495,0.17849034,0.08963477613059381,0.14188386,0.07342517535358438,1.0,0.4
5,0.10504096,0.05721557457657495,0.18152241,0.08963477613059381,0.14328168,0.07342517535358438,1.0,0.3
4,0.106280565,0.05721557457657495,0.21533287,0.08963477613059381,0.16080672,0.07342517535358438,1.0,0.2
2,0.13834275,0.05721557457657495,0.39333925,0.08963477613059381,0.265841,0.07342517535358438,0.5,0.4
3,0.1383875,0.05721557457657495,0.39788914,0.08963477613059381,0.26813832,0.07342517535358438,0.5,0.5
1,0.1367316,0.05721557457657495,0.41133016,0.08963477613059381,0.27403086,0.07342517535358438,0.5,0.3
0,0.13726565,0.05721557457657495,0.4338901,0.08963477613059381,0.2855779,0.07342517535358438,0.5,0.2
