,x,ukf_['x'],y,ukf_['y'],rmse,ukf_rmse,past_temporal_horizon,future_temporal_horizon
19,0.050459657,0.08062576826672048,0.041213337,0.07027253343748681,0.045836497,0.07544915085210364,4.0,0.5
17,0.052737564,0.08062576826672048,0.03931505,0.07027253343748681,0.046026304,0.07544915085210364,4.0,0.3
18,0.052684158,0.08062576826672048,0.040522277,0.07027253343748681,0.046603218,0.07544915085210364,4.0,0.4
23,0.060193863,0.08062576826672048,0.03494409,0.07027253343748681,0.047568977,0.07544915085210364,5.0,0.5
21,0.053359974,0.08062576826672048,0.043228228,0.07027253343748681,0.0482941,0.07544915085210364,5.0,0.3
20,0.058990054,0.08062576826672048,0.04305889,0.07027253343748681,0.051024474,0.07544915085210364,5.0,0.2
15,0.06777904,0.08062576826672048,0.042788517,0.07027253343748681,0.055283777,0.07544915085210364,3.0,0.5
14,0.07106205,0.08062576826672048,0.044015843,0.07027253343748681,0.05753895,0.07544915085210364,3.0,0.4
22,0.06252176,0.08062576826672048,0.053299166,0.07027253343748681,0.057910465,0.07544915085210364,5.0,0.4
13,0.06834849,0.08062576826672048,0.051066864,0.07027253343748681,0.05970768,0.07544915085210364,3.0,0.3
12,0.07535287,0.08062576826672048,0.046468996,0.07027253343748681,0.060910933,0.07544915085210364,3.0,0.2
16,0.06992776,0.08062576826672048,0.05940432,0.07027253343748681,0.06466604,0.07544915085210364,4.0,0.2
11,0.08250727,0.08062576826672048,0.06804527,0.07027253343748681,0.07527627,0.07544915085210364,2.0,0.5
10,0.08612111,0.08062576826672048,0.06533273,0.07027253343748681,0.07572693,0.07544915085210364,2.0,0.4
9,0.088755585,0.08062576826672048,0.07432562,0.07027253343748681,0.0815406,0.07544915085210364,2.0,0.3
8,0.08203007,0.08062576826672048,0.082063794,0.07027253343748681,0.08204693,0.07544915085210364,2.0,0.2
7,0.09939709,0.08062576826672048,0.11714311,0.07027253343748681,0.1082701,0.07544915085210364,1.0,0.5
6,0.10365,0.08062576826672048,0.12843406,0.07027253343748681,0.11604203,0.07544915085210364,1.0,0.4
4,0.09590853,0.08062576826672048,0.13782799,0.07027253343748681,0.11686826,0.07544915085210364,1.0,0.2
5,0.09685048,0.08062576826672048,0.14205098,0.07027253343748681,0.11945073,0.07544915085210364,1.0,0.3
2,0.12425887,0.08062576826672048,0.22798684,0.07027253343748681,0.17612286,0.07544915085210364,0.5,0.4
1,0.12905274,0.08062576826672048,0.22412364,0.07027253343748681,0.1765882,0.07544915085210364,0.5,0.3
3,0.13096678,0.08062576826672048,0.22860016,0.07027253343748681,0.17978346,0.07544915085210364,0.5,0.5
0,0.13304843,0.08062576826672048,0.2298464,0.07027253343748681,0.18144742,0.07544915085210364,0.5,0.2
