,x,ukf_['x'],y,ukf_['y'],rmse,ukf_rmse,past_temporal_horizon,future_temporal_horizon
18,0.049117487,0.08070157927911752,0.03801083,0.07032211849236715,0.043564156,0.07551184888574233,4.0,0.4
17,0.049305502,0.08070157927911752,0.03820536,0.07032211849236715,0.04375543,0.07551184888574233,4.0,0.3
23,0.052648034,0.08070157927911752,0.035834067,0.07032211849236715,0.04424105,0.07551184888574233,5.0,0.5
19,0.046862982,0.08070157927911752,0.04544112,0.07032211849236715,0.04615205,0.07551184888574233,4.0,0.5
20,0.053298417,0.08070157927911752,0.04081425,0.07032211849236715,0.047056332,0.07551184888574233,5.0,0.2
21,0.055149954,0.08070157927911752,0.047114868,0.07032211849236715,0.05113241,0.07551184888574233,5.0,0.3
15,0.06981519,0.08070157927911752,0.043727696,0.07032211849236715,0.056771442,0.07551184888574233,3.0,0.5
22,0.059315603,0.08070157927911752,0.055802193,0.07032211849236715,0.057558898,0.07551184888574233,5.0,0.4
14,0.0676985,0.08070157927911752,0.04939855,0.07032211849236715,0.058548525,0.07551184888574233,3.0,0.4
13,0.0691094,0.08070157927911752,0.05020249,0.07032211849236715,0.059655946,0.07551184888574233,3.0,0.3
16,0.063012734,0.08070157927911752,0.061325006,0.07032211849236715,0.06216887,0.07551184888574233,4.0,0.2
10,0.07882603,0.08070157927911752,0.06460251,0.07032211849236715,0.07171427,0.07551184888574233,2.0,0.4
12,0.085683584,0.08070157927911752,0.07101878,0.07032211849236715,0.078351185,0.07551184888574233,3.0,0.2
9,0.08697047,0.08070157927911752,0.07893861,0.07032211849236715,0.08295454,0.07551184888574233,2.0,0.3
11,0.09061937,0.08070157927911752,0.07768547,0.07032211849236715,0.084152415,0.07551184888574233,2.0,0.5
8,0.094647944,0.08070157927911752,0.07824729,0.07032211849236715,0.08644761,0.07551184888574233,2.0,0.2
7,0.11007487,0.08070157927911752,0.12130661,0.07032211849236715,0.11569074,0.07551184888574233,1.0,0.5
5,0.10836037,0.08070157927911752,0.13093667,0.07032211849236715,0.119648516,0.07551184888574233,1.0,0.3
6,0.10609729,0.08070157927911752,0.13844307,0.07032211849236715,0.12227018,0.07551184888574233,1.0,0.4
4,0.10056565,0.08070157927911752,0.14426649,0.07032211849236715,0.122416064,0.07551184888574233,1.0,0.2
1,0.1256183,0.08070157927911752,0.22702686,0.07032211849236715,0.17632258,0.07551184888574233,0.5,0.3
0,0.13037622,0.08070157927911752,0.22614236,0.07032211849236715,0.17825928,0.07551184888574233,0.5,0.2
2,0.12687923,0.08070157927911752,0.2349519,0.07032211849236715,0.18091556,0.07551184888574233,0.5,0.4
3,0.13358529,0.08070157927911752,0.24616307,0.07032211849236715,0.18987417,0.07551184888574233,0.5,0.5
