,x,ukf_['x'],y,ukf_['y'],rmse,ukf_rmse,past_temporal_horizon,future_temporal_horizon
22,0.117079236,0.18901006618319227,0.08503848,0.12941284128618552,0.101058856,0.1592114537346889,5.0,0.4
23,0.12382731,0.18901006618319227,0.09149473,0.12941284128618552,0.107661024,0.1592114537346889,5.0,0.5
21,0.1161643,0.18901006618319227,0.10242538,0.12941284128618552,0.10929484,0.1592114537346889,5.0,0.3
17,0.14436257,0.18901006618319227,0.09390211,0.12941284128618552,0.11913234,0.1592114537346889,4.0,0.3
19,0.14755376,0.18901006618319227,0.0911238,0.12941284128618552,0.11933878,0.1592114537346889,4.0,0.5
18,0.14515087,0.18901006618319227,0.09745216,0.12941284128618552,0.12130152,0.1592114537346889,4.0,0.4
16,0.14412,0.18901006618319227,0.10438341,0.12941284128618552,0.1242517,0.1592114537346889,4.0,0.2
20,0.117197715,0.18901006618319227,0.13833207,0.12941284128618552,0.1277649,0.1592114537346889,5.0,0.2
14,0.18137793,0.18901006618319227,0.10164267,0.12941284128618552,0.14151031,0.1592114537346889,3.0,0.4
15,0.19207561,0.18901006618319227,0.09616548,0.12941284128618552,0.14412054,0.1592114537346889,3.0,0.5
13,0.19147755,0.18901006618319227,0.106008425,0.12941284128618552,0.14874299,0.1592114537346889,3.0,0.3
12,0.19177501,0.18901006618319227,0.10724939,0.12941284128618552,0.1495122,0.1592114537346889,3.0,0.2
9,0.22303611,0.18901006618319227,0.15627515,0.12941284128618552,0.18965563,0.1592114537346889,2.0,0.3
10,0.22507454,0.18901006618319227,0.15710858,0.12941284128618552,0.19109157,0.1592114537346889,2.0,0.4
8,0.21728222,0.18901006618319227,0.1671643,0.12941284128618552,0.19222325,0.1592114537346889,2.0,0.2
11,0.22404678,0.18901006618319227,0.1604839,0.12941284128618552,0.19226533,0.1592114537346889,2.0,0.5
5,0.28973317,0.18901006618319227,0.33347833,0.12941284128618552,0.31160575,0.1592114537346889,1.0,0.3
4,0.2939543,0.18901006618319227,0.33474356,0.12941284128618552,0.31434894,0.1592114537346889,1.0,0.2
7,0.2880993,0.18901006618319227,0.35806173,0.12941284128618552,0.3230805,0.1592114537346889,1.0,0.5
6,0.30156428,0.18901006618319227,0.36483493,0.12941284128618552,0.33319962,0.1592114537346889,1.0,0.4
0,0.381661,0.18901006618319227,0.64848524,0.12941284128618552,0.5150731,0.1592114537346889,0.5,0.2
1,0.38298804,0.18901006618319227,0.6581227,0.12941284128618552,0.5205554,0.1592114537346889,0.5,0.3
2,0.38565418,0.18901006618319227,0.66634035,0.12941284128618552,0.5259973,0.1592114537346889,0.5,0.4
3,0.38934362,0.18901006618319227,0.6688397,0.12941284128618552,0.52909166,0.1592114537346889,0.5,0.5
