,x,ukf_x,y,ukf_y,rmse,ukf_rmse,past_temporal_horizon,future_temporal_horizon
19,0.023990603,0.03831600079408563,0.042524688,0.06393481426538121,0.033257645,0.05112540752973342,4.0,0.5
23,0.028822664,0.03831600079408563,0.04596224,0.06393481426538121,0.037392452,0.05112540752973342,5.0,0.5
17,0.024274202,0.03831600079408563,0.051446922,0.06393481426538121,0.03786056,0.05112540752973342,4.0,0.3
13,0.025762038,0.03831600079408563,0.05185682,0.06393481426538121,0.03880943,0.05112540752973342,3.0,0.3
18,0.02631595,0.03831600079408563,0.051588252,0.06393481426538121,0.0389521,0.05112540752973342,4.0,0.4
12,0.025581218,0.03831600079408563,0.052558,0.06393481426538121,0.039069608,0.05112540752973342,3.0,0.2
9,0.029223915,0.03831600079408563,0.050629396,0.06393481426538121,0.039926656,0.05112540752973342,2.0,0.3
15,0.02777879,0.03831600079408563,0.052806538,0.06393481426538121,0.040292665,0.05112540752973342,3.0,0.5
22,0.029688308,0.03831600079408563,0.051303644,0.06393481426538121,0.040495977,0.05112540752973342,5.0,0.4
14,0.030328711,0.03831600079408563,0.051856074,0.06393481426538121,0.041092392,0.05112540752973342,3.0,0.4
21,0.029094484,0.03831600079408563,0.0547575,0.06393481426538121,0.04192599,0.05112540752973342,5.0,0.3
11,0.033549957,0.03831600079408563,0.0506746,0.06393481426538121,0.042112276,0.05112540752973342,2.0,0.5
20,0.02965278,0.03831600079408563,0.057600964,0.06393481426538121,0.04362687,0.05112540752973342,5.0,0.2
10,0.03256756,0.03831600079408563,0.05858882,0.06393481426538121,0.04557819,0.05112540752973342,2.0,0.4
16,0.02835699,0.03831600079408563,0.06552701,0.06393481426538121,0.046942,0.05112540752973342,4.0,0.2
8,0.029297926,0.03831600079408563,0.068074726,0.06393481426538121,0.048686326,0.05112540752973342,2.0,0.2
7,0.044891145,0.03831600079408563,0.07769821,0.06393481426538121,0.061294675,0.05112540752973342,1.0,0.5
6,0.044221457,0.03831600079408563,0.092554994,0.06393481426538121,0.06838822,0.05112540752973342,1.0,0.4
5,0.047254886,0.03831600079408563,0.10370459,0.06393481426538121,0.07547974,0.05112540752973342,1.0,0.3
4,0.04515013,0.03831600079408563,0.15217145,0.06393481426538121,0.09866079,0.05112540752973342,1.0,0.2
3,0.062189322,0.03831600079408563,0.17776942,0.06393481426538121,0.119979374,0.05112540752973342,0.5,0.5
2,0.06493119,0.03831600079408563,0.19395359,0.06393481426538121,0.1294424,0.05112540752973342,0.5,0.4
1,0.06415009,0.03831600079408563,0.20513786,0.06393481426538121,0.13464397,0.05112540752973342,0.5,0.3
0,0.063577786,0.03831600079408563,0.26343018,0.06393481426538121,0.16350397,0.05112540752973342,0.5,0.2
